year,title,actor,role,wet
1980,He Knows You're Alone,Yes,Elliot,No
1984,Splash,Yes,Allen Bauer,No
1984,Bachelor Party,Yes,Rick Gassko,No
1985,The Man with One Red Shoe,Yes,Richard Harlan Drew,No
1985,Volunteers,Yes,Lawrence Whatley Bourne III,No
1986,The Money Pit,Yes,"Walter Fielding, Jr.",No
1986,Nothing in Common,Yes,David Basner,No
1986,Every Time We Say Goodbye,Yes,David Bradley,No
1987,Dragnet,Yes,Detective Pep Streebek,No
1988,Big,Yes,Josh Baskin,No
1988,Punchline,Yes,Steven Gold,No
1989,The 'Burbs,Yes,Ray Peterson,No
1989,Turner & Hooch,Yes,Detective Scott Turner,No
1990,Joe Versus the Volcano,Yes,Joe Banks,No
1990,The Bonfire of the Vanities,Yes,Sherman McCoy,No
1992,Radio Flyer,Yes,Older Mike/Narrator,No
1992,A League of Their Own,Yes,Jimmy Dugan,No
1993,Sleepless in Seattle,Yes,Sam Baldwin,No
1993,Philadelphia,Yes,Andrew Beckett,No
1994,Forrest Gump,Yes,Forrest Gump,No
1995,Apollo 13,Yes,Jim Lovell,No
1995,Toy Story,Yes,Sheriff Woody,No
1996,That Thing You Do!,Yes,Mr. White,No
1998,Saving Private Ryan,Yes,Captain John H. Miller,No
1998,You've Got Mail,Yes,Joe Fox,No
1999,Toy Story 2,Yes,Sheriff Woody,No
1999,The Green Mile,Yes,Paul Edgecomb,No
2000,Cast Away,Yes,Chuck Noland,No
2002,Road to Perdition,Yes,"Michael Sullivan, Sr.",No
2002,Catch Me If You Can,Yes,FBI Agent Carl Hanratty,No
2004,The Ladykillers,Yes,Professor G.H. Dorr,No
2004,The Terminal,Yes,Viktor Navorski,No
2004,Elvis Has Left the Building,Yes,Mailbox Elvis,No
2004,The Polar Express,Yes,The Conductor/Hero Boy/Father/Scrooge/Santa Claus/Hobo,No
2006,The Da Vinci Code,Yes,Professor Robert Langdon,No
2006,Cars,Yes,Woody Car,No
2007,Charlie Wilson's War,Yes,Charlie Wilson,No
2007,The Simpsons Movie,Yes,Himself,No
2009,The Great Buck Howard,Yes,Mr. Gable,No
2009,Angels & Demons,Yes,Professor Robert Langdon,No
2010,Toy Story 3,Yes,Sheriff Woody,No
2011,Hawaiian Vacation,Yes,Sheriff Woody,No
2011,Larry Crowne,Yes,Larry Crowne,No
2011,Small Fry,Yes,Sheriff Woody,No
2011,Extremely Loud & Incredibly Close,Yes,Thomas Schell Jr.,No
2012,Cloud Atlas,Yes,Dr. Henry Goose/Hotel Manager/Isaac Sachs/Dermot Hoggins/Cavendish Look-A-Like Actor/Zachry,No
2012,Partysaurus Rex,Yes,Sheriff Woody,No
2013,Captain Phillips,Yes,Captain Richard Phillips,No
2013,Saving Mr. Banks,Yes,Walt Disney,No
2015,Bridge of Spies,Yes,James B. Donovan,No
2015,Ithaca,Yes,Mr. Macauley,No
2016,A Hologram for the King,Yes,Alan Clay,No
2016,Sully,Yes,"Captain Chesley ""Sully"" Sullenberger",No
2016,California Typewriter,Yes,Himself,No
2016,Inferno,Yes,Professor Robert Langdon,No
2017,The Circle,Yes,Eamon Bailey,No
2017,The Post,Yes,Ben Bradlee,No
2019,Toy Story 4,Yes,Sheriff Woody,No
2019,A Beautiful Day in the Neighborhood,Yes,Fred Rogers,No
2020,Greyhound,Yes,Commander Ernest Krause,No
2020,BIOS,Yes,Finch,No
2020,News of the World,Yes,Captain Jefferson Kyle Kidd,No
2021,Elvis,Yes,Colonel Tom Parker,No
